id,first_name,last_name,email,mobile_number,gender,dob,t_shirt_size,name_bib,blood_group,emergency_contact_name,emergency_contact_number,pincode,state,city,time_of_registration,medical_issue,category,address,runner_club,age,distance,order_number,whatsapp_number,company,coupon_code,payment_id,order_id,payment_status,status,payment_order_id,base_fees,platform_charges,platform_charges_gst,registration_gst,amount,payment_gway_charges,payment_gway_charges_gst,customer_pays,novarace_revenue,pg_charges,organizer_receives,event_id
11,Ria,Ramesh,munifitan@example.com,4360349222,Female,21-10-1979,L,Champak,B-,Kalpit Tata,7625427598,58785,Mizoram,Bellary,11-03-2026 06:59,Asthma,VIP,"627, Shah Road Sri Ganganagar-204137",None,46,Full,8b613c7b-ace9-4881-8f80-8f21b6ac7fc4,2144787999,"Kapoor, Garde and Pradhan",RUN20,06df6080-3e24-4a60-8965-0f6f65b7e670,27202d63-7569-46e4-bc43-a1eba09bbf02,PENDING,INACTIVE,8779c30c-75cd-4cb3-9cd5-5a130d6a9ba6,744.28,46.85,7.72,14.17,918.9,16.9,5.56,550.87,300.1,27.19,672.99,1
12,Arjun,Sheth,sethividhi@example.com,889733798,Male,13-10-2004,L,Devika,B+,Mitali Edwin,4134318813,609465,Goa,Navi Mumbai,28-03-2026 01:42,BP,General,"251, Panchal Marg Tadipatri 129472",Fast Runners,21,Half,55b0c7de-4fa7-4ce2-86bf-6868a2de1f85,3888652991,Kapur-Anand,NONE,7b20872b-7ee3-4c95-a4b7-1ef8a166ca2a,f345c4e7-6a6c-4d27-bcc9-33c9250a8bb9,FAILED,ACTIVE,fae66f2a-3d46-483f-8ca3-b0646195008a,1171.49,16.01,1.29,86.83,1295.76,38.68,3.56,1204,147.42,92.19,683.64,1
13,Onkar,Grewal,jayaramanyatin@example.net,4898760956,Male,23-05-2006,XL,Oni,A-,Chatura Vig,5329096555,453146,Goa,Udaipur,04-01-2026 00:23,BP,General,"044, Anne Circle Hubli–Dharwad 062152",None,19,10K,b9802b8c-2098-420b-9798-306f8b73708d,9051065299,Chanda Group,NONE,2cd80f58-3c87-48ad-96e8-39a6250802d6,acbdd06c-447d-46b6-8ffa-c44ceeceadfd,FAILED,ACTIVE,2a7d8b2c-e33f-4ffb-a521-7f12f3558ee7,1442.44,35.81,4.37,73.16,1820.73,10.1,8.66,1824.09,389.97,65.2,1227.87,1
14,Balveer,Narula,manbir32@example.net,3199581749,Male,03-08-1977,M,Nandini,A-,Qasim Nayar,2989631011,266412,Chhattisgarh,Bhopal,07-01-2026 08:17,BP,VIP,"44, Ravi, Kollam-423506",Fast Runners,48,Full,f925a60d-7818-48ec-a848-f3cd18ff1cd8,7024223680,Padmanabhan-Chanda,NONE,464c2aac-9d97-458b-b7a7-17780652e415,9edddb07-2808-40de-8617-92c2a497e9e1,FAILED,ACTIVE,88387a83-5fb3-4fc7-862a-1df447c4882a,401.81,39.49,2.14,70.02,1235.49,14.83,2.67,2361.8,401.41,98.22,1234.3,1
15,Mitali,Palla,patrickkar@example.net,4647183222,Female,19-11-1978,M,Pavani,AB-,Parth Kant,1933682345,73683,Assam,Khammam,17-01-2026 20:34,Asthma,General,78 Kadakia Chowk Coimbatore 863429,City Club,47,5K,166447ba-009e-4a8e-987d-ef1cba47f479,4459418227,Chawla-Agate,RUN20,9b656da3-5d9e-4c6c-8b86-bf97e194b750,525f8146-9793-40ba-98da-876b2b055df4,FAILED,ACTIVE,af5fb02e-54b9-4a47-8a6d-6e9d184453ad,748.7,37.24,8.95,51.62,1408.5,6.14,7.12,2431.19,125.02,67.12,645.59,1
16,Dayita,Nanda,kandra@example.org,2621433062,Female,25-12-1965,L,Aryan,A-,Arin Mohan,1680925119,960875,Karnataka,Bijapur,24-01-2026 16:22,BP,General,"H.No. 66, Kunda Road, Kanpur 608149",None,60,Full,f12a4d43-1ea3-428b-a77d-d0e736dc1ce8,7609657311,Mangat-Kalla,RUN20,96c48153-4c93-4768-922c-aebacc47cc63,8ff8293e-682b-4228-848f-f409235028c4,FAILED,INACTIVE,54d3ac69-75e6-426f-9d1c-fabea08eef67,1097.03,28.04,5.94,14.63,1436.69,19.82,3.03,2039.09,422.6,57.57,382.58,1
17,Lucky,Soni,kantnoah@example.net,4041425541,Male,01-01-1971,S,Kiaan,O+,Triya Nigam,4098596035,324419,Meghalaya,Gandhinagar,29-03-2026 21:16,Asthma,Senior,763 Singh Cuttack-917736,Fast Runners,55,Full,acdfc8ee-0582-426d-8905-b95cd3f9d4a0,6355252097,"Batta, Roy and Krishnan",RUN20,5f0f76f0-5b1e-4428-88e3-cbcb73a7b26a,2858e4f8-2420-4d4c-993f-3c87bf572a6c,FAILED,INACTIVE,9d53f967-ea40-4ba9-a466-9f0e1e8b544b,1177.12,15.44,1.13,88.93,1133.35,5.54,5.64,2380.39,462.54,76.58,1163.25,1
18,Hemal,Chada,jdugar@example.net,4212485960,Female,15-01-1982,XL,Vrishti,AB-,Yamini Naik,4379713809,694715,Bihar,Ichalkaranji,19-01-2026 03:20,Asthma,General,"43/18, Narula Agartala 414284",None,44,10K,c0a4b7f8-8133-4651-9d0a-5805ee3f7e7a,7474094529,Virk Inc,RUN20,e153eab7-d892-4d12-8d70-36e1bea7210c,31d40dbb-7cba-4bc8-8f9b-ae53f77a2747,SUCCESS,INACTIVE,dd15a971-543a-4a52-a277-96e666bcd4cf,793.37,32.21,3.34,31.13,1112.54,7.97,9.78,2158.29,455.24,24.87,1245.98,1
19,Anusha,Sahota,dakshawalla@example.com,2496954552,Female,04-06-1990,L,Balveer,O-,Harish Ahluwalia,2160277185,938023,Meghalaya,Hosur,13-04-2026 04:47,Diabetes,General,"52/511 Ghose Road, Rajpur Sonarpur-155051",None,35,10K,7755d5b5-9b11-4fc7-97a7-c5f7f1287004,9817504931,"Bhargava, Gala and Mishra",NONE,c7477bde-65b1-4e34-8e6c-9611137dcfda,51198aac-92c0-4ac5-bcaa-8ccac8b2193c,FAILED,ACTIVE,01b29f68-be13-4559-a288-449fb8eac30e,1378.95,47.48,4.06,17.87,1531.94,6.19,9.15,639.55,110.58,63.36,710.06,1
20,Kamya,Dugar,radhakrishnaneesha@example.com,1906875963,Female,07-07-1980,L,Wakeeta,B-,Hritik Ratta,2611728126,961622,Bihar,Ichalkaranji,14-02-2026 05:13,BP,General,"14/990 Madan Nagar, Medininagar 755481",Marathoners,45,Full,9baa3265-2ee2-49fc-8695-bbc5e936a6ad,749139426,"Sachdev, Menon and Aggarwal",RUN20,21b34de0-9d52-4bbe-ae8b-be8aa4885fc3,32dad566-9ed7-48dc-8d16-5084e5ea4143,SUCCESS,INACTIVE,85fee687-8593-43b2-b00f-f841246f4c7a,998.4,36.96,5.5,39.22,1481.66,33.29,6.66,1969.02,180.44,75.86,1272.18,1
21,Wriddhish,Naidu,libni65@example.org,2570588046,Male,21-05-1995,L,Ethan,AB-,Gaurangi Ramakrishnan,6940053850,442605,Jharkhand,Tiruvottiyur,04-01-2026 00:40,BP,General,06/56 Kale Dhule-833294,None,30,10K,4f7d8d8a-de20-4775-9cbb-3e65a97af04b,4319215105,Ramesh Inc,DISC10,e29689ac-d12e-491b-93b7-3d11b4a59dad,f5c275d4-f90a-44e1-b8ba-49469edfa169,PENDING,INACTIVE,e3c70a4b-07a7-482b-ad9e-a8f68a3460c0,416.92,19.87,2.84,77.67,1172.15,18.58,7.68,1989.5,345.18,97.49,664.14,1
22,Triveni,Chand,dkaur@example.org,2669356785,Female,28-09-1996,XL,Gaurav,B-,Waida Dhillon,832158886,372848,Manipur,Muzaffarnagar,22-01-2026 07:28,Diabetes,General,"26/38 Dave Road, Rohtak-245623",City Club,29,Half,347a67be-dde4-418e-a7f5-864cb0081a6d,2402993502,Dugar PLC,NONE,87bcbbd3-9832-4177-a092-5633f40fcb89,9e8d5355-03e7-470a-82db-b798c395c9f5,PENDING,INACTIVE,6e0ca863-3849-4e04-8d77-446e32110f41,909.32,10.04,5.31,68.79,1901.12,25.15,4.1,668.16,457.94,23.21,828.52,1
23,Abhimanyu,Sankar,zilmilyogi@example.org,8285372457,Male,31-10-1978,XL,Warda,O+,Faraj Issac,2326566491,282962,Karnataka,Bokaro,11-02-2026 10:10,None,General,"H.No. 75 Chakrabarti Zila, Phusro 694753",Marathoners,47,Full,de36422d-1c52-40ca-9eeb-ce9793eb85a9,2915183064,Iyengar and Sons,NONE,edce3f62-bfdd-495b-a5fe-2ce75f8016f7,90669940-3298-4ea8-8719-147ac20ac3e3,FAILED,ACTIVE,27b6e6f9-2f94-403e-a3bf-89c153ff981f,878.45,23.98,4.5,45.36,812.53,48.96,7.71,1842.22,261.99,15.56,1158.96,1
24,Shaurya,Chokshi,crajagopalan@example.net,8495694848,Male,21-09-1980,M,Vincent,A+,Niharika Sandal,6055678111,545639,Kerala,Ballia,08-03-2026 21:55,BP,VIP,"01, Rattan Zila Medininagar-690242",City Club,45,10K,4d4c940a-b8d5-4c85-ae91-9b4054accc63,1042560017,Ramesh Inc,DISC10,51af45e1-5e40-4e8a-a541-5576859d1fae,f0798e51-d619-49d7-86dc-a7a1a6865e54,PENDING,INACTIVE,01a8917a-fae7-4aa2-ba53-089cf1c13566,355.52,43.78,9.84,28.79,1632.5,20.96,4.11,1576.99,58.39,27.98,926.55,1
25,Diya,Acharya,sarthak88@example.net,6024014143,Female,23-03-2006,M,Balhaar,B-,Jason Saini,3209644536,465779,Maharashtra,New Delhi,18-03-2026 02:15,BP,General,67/077 Rai Nagar Sikar-826262,Marathoners,20,Full,71031558-e7dd-4a93-9bfb-6e2da419fb58,9763709442,Edwin-Prakash,NONE,f1f09946-d7e2-4abd-8373-e13542506ad8,4030706d-1bfc-437d-9ab4-9f67ffd99c85,SUCCESS,ACTIVE,77ac3987-10d2-4059-84d5-7ba9657a4df6,370.47,38.32,4.67,83.31,977.91,25.85,7.06,1899.67,159.82,23.26,1223.7,1
26,Wazir,Basak,ishitamall@example.com,5587539540,Male,04-06-1990,XL,Chanchal,B-,Jacob Sekhon,1064020028,831079,Jharkhand,Kavali,27-03-2026 15:12,BP,General,H.No. 92 Ramanathan Ganj Saharanpur 284304,Fast Runners,35,Full,8a97653f-fe7c-488d-945d-4df319b0da39,5671390576,Sarma-Bansal,NONE,5a0d0266-e683-4f94-87ce-cf92f58ba4e3,e79b975e-10ca-45c9-aa69-f8ceebfe590c,FAILED,ACTIVE,c480367c-be9f-4dbd-aa29-555aee2979dd,1290.21,47.15,1.75,87.22,807.49,34.77,1.18,893.21,73.91,29.15,1234.85,1
27,Suhani,Garde,kavyaguha@example.com,3623598536,Female,11-04-2004,S,Ekanta,B+,Raghav Mani,336428233,769361,Jharkhand,Bhubaneswar,19-01-2026 13:04,None,Senior,"32/06, Sundaram, Anantapuram-293641",None,22,5K,909a4a7f-8486-492a-8543-6c98b2bdeddf,7986988169,Dalal-Uppal,DISC10,6d50722b-7b9a-4375-89eb-6d30af8ff1c3,002b7c7e-d46c-4c15-abac-af03bf044c95,PENDING,ACTIVE,513493b5-b341-4a06-a16e-d69cbdcf15b0,992.66,30.63,8.6,26.92,1371.85,23.69,3.61,2043.12,290.9,17.26,1251.14,1
28,Vanya,Toor,vedachowdhury@example.net,3975406885,Female,16-02-1992,L,Meghana,O+,Ishani Nagar,9943884828,405397,Meghalaya,Madanapalle,23-02-2026 02:59,None,Senior,"531 Kala Marg, Amritsar 988783",Fast Runners,34,5K,740d5ef1-06e1-42af-8d0c-ac1abc6e896f,4970928753,Subramanian PLC,RUN20,baf2c6af-2705-4057-b757-2e91d2c2383d,3a911616-f996-43e7-8058-79c85c897138,FAILED,INACTIVE,3add6dd1-8330-4e8e-a104-17cb98012c34,870.48,18.79,9.53,40.32,725.91,7.8,3.69,755.04,382.08,74.43,583.23,1
29,Jyoti,Dutt,chakradhar61@example.com,9714410613,Female,04-01-1970,S,Kritika,A-,Anjali Sheth,149262145,136684,Telangana,Anand,04-02-2026 00:05,Asthma,Senior,31/19 Roy Street Anand-554142,City Club,56,Half,9c11a811-8619-4529-bcce-8b68fc23b38e,5719320012,Gandhi Ltd,NONE,340701de-9024-4252-b6cb-a90fc7b703b2,0e0ce7e7-5b10-4e5e-ad3d-516a7d7c29bc,SUCCESS,ACTIVE,89bd7052-99f8-406a-9cf8-26af759b71a9,1183.44,10.69,9.1,24.89,803.53,10.94,2.03,2151.67,123.2,83.47,729.05,1
30,Chakradhar,Zachariah,indalidara@example.org,4682436087,Male,18-03-1969,L,Jeevika,A+,Meghana Ramachandran,1713893396,83492,Nagaland,Kollam,28-01-2026 09:34,None,Senior,"41/280 Jaggi Path, Gaya 944651",City Club,57,Full,ed0c80ed-59f2-437e-8d9c-4762b86a4e07,9922781324,"Bains, Sankaran and Borah",DISC10,94fcd31a-4631-4dc1-8bb7-9bb099423f1b,a050521a-7f02-4b7c-a5d4-647ba783a495,PENDING,INACTIVE,f94778c5-9df6-41af-9c01-2da8d6d8595d,1176.62,39.7,5.43,52.37,1121.47,23.37,5.54,590.82,150.1,65.17,1028.39,1
31,David,Palla,chanchaltata@example.org,5166981636,Male,09-05-1992,L,Inaya,O-,Noah Minhas,6335043203,142544,Meghalaya,Vasai-Virar,07-03-2026 03:40,Asthma,Senior,"57/155 Bassi Path, Barasat-434402",Marathoners,33,10K,3d840b16-fdd7-47f4-8306-3848e686b18b,3838340935,Manda-Minhas,RUN20,76db1f48-5d7b-482d-ae3a-cd08d5ef4891,602bd5f9-d44c-4552-936b-628a6f32be1a,FAILED,ACTIVE,a8fc4e0d-2cae-4be0-971c-9d06bf03ddab,550.84,40.81,7.14,50.86,1906.22,18.07,9.86,1098.38,92.06,98.64,1167.43,1
32,Ishanvi,Mann,indirachoudhury@example.com,7907294755,Female,29-08-2003,S,Deepa,A-,Fitan Tandon,6498688636,746864,Arunachal Pradesh,Ratlam,18-04-2026 03:03,BP,Senior,"H.No. 294, Gola, Kulti 475845",Fast Runners,22,Full,6e50d8d9-0d80-4d9e-a0c1-6acd78d63b31,3677960321,Sagar-Soman,NONE,c7794f38-1e40-4443-9a1d-11c9794df1ce,8d009e40-1327-4287-aa9a-cde5d0b4b05b,SUCCESS,ACTIVE,a753dea4-8e3e-47fe-af82-5ae7c733f317,1382.34,33.05,2.06,77.18,1633.59,42.81,5.2,1636.74,331.98,54.36,1385.02,1
33,Aarush,Behl,tarak22@example.net,2570032381,Male,10-11-1976,M,Widisha,AB-,Janaki Basu,8243032288,382134,Haryana,Kanpur,10-04-2026 07:20,BP,Senior,"H.No. 470, Shanker Circle Haridwar 848378",Marathoners,49,Full,60dd61a2-55eb-45ab-bd57-f23c82560603,9384223695,"Vaidya, Thaman and Dugal",DISC10,915aefc2-7ff9-41bd-afec-640e4c365453,3d4bcbc6-2edb-43e3-a614-696d781eb6bf,SUCCESS,INACTIVE,108b7a48-a8ff-4097-a43f-26b3735d408b,683.18,47.17,9.46,30.15,1246.95,45.07,7.32,2136.18,406.45,61.3,321.99,1
34,Anirudh,Mutti,rajudominic@example.net,3581067358,Male,11-02-1997,S,Qushi,AB-,Leela Nagy,7648999307,973755,Punjab,Patna,17-02-2026 18:42,None,VIP,"39/268 Raghavan Ganj, Udupi-500508",Fast Runners,29,10K,1252fbfa-3ec9-4d13-8a4a-1c89b9a1f0bd,5078594007,Deep-Saraf,DISC10,5e7bfa23-4f33-4208-bd0a-09889e25e94f,976700e8-cbfb-4be2-85a8-2de801c49e5a,SUCCESS,INACTIVE,acca7b75-03f3-46ef-9047-125524244fe6,489.14,12.7,1.52,71.41,1201.68,16.42,4.57,1084.45,456.04,74.27,1190.33,1
35,Zarna,Randhawa,edwinyamini@example.net,1063661388,Female,23-11-1965,S,Mekhala,B-,George Bedi,9890982937,771300,Tamil Nadu,Gangtok,02-02-2026 06:19,None,VIP,"H.No. 14, Sekhon Zila, Chandigarh 644360",City Club,60,Full,6316c3a3-2da6-4318-ab8d-637830ba1d5e,3256102015,Chandran-Taneja,RUN20,34ecfb91-665c-46d4-be54-345f80d56026,c4cc575b-bbaa-4215-a756-2d8375eedf0d,FAILED,ACTIVE,4ecca25f-501d-4e07-bead-574ae2694273,1113.98,36.42,6.92,42.4,1562.95,29.08,5.29,2205.66,167.07,39.41,1346.1,1
36,Yashica,Raj,wakeetachacko@example.net,6777747504,Female,01-08-1995,XL,Arjun,AB+,Advaith Chandran,2443687336,141167,Karnataka,Nagaon,20-01-2026 01:11,BP,VIP,"19, Karan Ganj Shimla-692789",Fast Runners,30,5K,7e6882bd-c2d6-4ada-9be3-bef4a51e7df0,7445932191,Lata Ltd,RUN20,8ed39278-c402-4035-8b06-987d58fe0b92,8e8ca81e-651c-46d2-bc68-fd74fa243a6f,FAILED,ACTIVE,e64a9d2c-7ca0-4866-8b0d-3793f2d9ad9e,442.44,13.24,7.67,25.94,1965.73,5.25,5.07,1422.85,332.98,66.8,1179.49,1
37,Madhav,Ben,mahalbhavika@example.com,3045767438,Male,20-11-2004,XL,Warjas,AB+,Prisha Raman,8133004681,420023,Andhra Pradesh,Ramgarh,26-02-2026 09:20,BP,General,"H.No. 10 Venkatesh Marg, Thane-191518",Marathoners,21,5K,8c658fdd-33f0-430b-8d14-0918af96c82d,8171713296,"Raghavan, Mane and Misra",NONE,5bf1f0d5-a2d8-489c-a244-c02a0633ae9e,4fdf050e-8a47-4ee5-b44d-cb930bc63e30,SUCCESS,ACTIVE,b1e4a0b2-6e10-4db7-9889-cefdf6c22d83,1302.67,45.96,2.49,21.5,1100.18,32.85,9.21,1812.14,318.08,60.49,483.16,1
38,Radha,Mitra,aryan17@example.net,9763240785,Female,07-05-1995,S,Onveer,O-,Aishani Saxena,5765888331,587032,Odisha,Orai,03-02-2026 23:11,BP,VIP,"H.No. 26, Kala Marg Hospet-333925",Marathoners,30,10K,8b8f87ec-3673-496b-81e0-3c185d669819,2481628990,"Pal, Dhillon and Menon",NONE,7d668eb1-623c-45f1-a410-b300814aa43b,fdf0adce-10c1-478b-8219-3b558adb95c4,PENDING,ACTIVE,f37dc06e-14f7-409b-bfed-a943c2689133,667.25,27.43,1.34,21.31,1780.44,16.51,7.8,1991.54,474.94,82.02,401.79,1
39,Lajita,Nayak,faqid73@example.net,2448508224,Female,07-08-1984,XL,Balveer,AB+,Janya Chaudhari,289468461,315462,West Bengal,Shimla,11-01-2026 22:04,Asthma,VIP,05/16 Manne Street Bhiwandi 081803,Marathoners,41,Half,b74e7f6c-1ef4-4933-b421-ec90dd5b1300,7066093060,Chahal Ltd,DISC10,93aaab5d-0c61-453f-a3fb-a27739aa14f4,45150e46-c822-4e2b-91fc-6adb0e5e5ee3,FAILED,INACTIVE,3ab65112-f729-4fb3-b144-f5c259a7d345,1293.63,40.99,1.82,44.67,1379.87,23.55,4.09,871.95,239.75,24.33,1303.02,1
40,Irya,Das,goelpatrick@example.org,7264589343,Female,01-11-1965,L,Megha,O+,Isaac Lata,7653262757,450401,Tripura,Rajkot,10-03-2026 00:35,None,VIP,"H.No. 81, Nadkarni Road, Jodhpur 200246",Fast Runners,60,Full,11852bc5-d56f-48cd-b75e-c5c11dc5f020,19245771,"Dugar, Dhillon and Kaul",DISC10,ef80673d-4450-4410-ac23-2e7de49f22b8,c807c360-8182-4844-b861-fabd53f10d3b,FAILED,INACTIVE,39abd90f-f56f-4bb4-acbb-779735c922be,816.59,25,8.23,50.99,1278.42,45.61,7.56,1514.45,179.37,14.49,735.81,1
41,Pooja,Manne,dayita33@example.org,7431971368,Female,20-10-2003,M,Harshil,A-,Udyati Wagle,8728459375,900497,Rajasthan,New Delhi,17-02-2026 19:47,BP,VIP,"166 Ramakrishnan Circle, Thanjavur-720395",Fast Runners,22,5K,2aa5b652-1e87-491f-bac1-b29b743c3c7d,8366295687,Bath-Rana,RUN20,8a6919f0-71f4-4601-9027-14012c0ea97e,57b2ae57-8e7b-42d6-a466-74f23ff427a8,SUCCESS,INACTIVE,08b0883c-6616-4ae8-b658-762e9912f534,456.81,17.81,4.84,12.55,1089.46,17.24,2.2,1988.52,235.66,44.75,1225.52,1
42,Anika,Ghose,mbassi@example.org,6457676581,Female,14-03-1999,S,Om,O+,Sai Sule,6114183429,144944,Karnataka,Sangli-Miraj & Kupwad,06-02-2026 08:46,BP,General,35 Sandhu Zila Baranagar 913799,City Club,27,Full,c8c08fe0-b2eb-4879-8914-f9705f5ad74b,9417020441,Loyal LLC,DISC10,31cd6226-d72b-49d1-96e0-06255e21bd5a,eaa687a1-bcce-438e-81a3-5897b189af3b,FAILED,INACTIVE,1e18afbf-60a5-4331-a4f5-fa68a21995da,543.86,38.76,5.93,43.25,1476.98,29.2,2.8,2199.2,305.29,22.8,419.09,1
